TRADING CODE,LTP*,HIGH,LOW,CLOSEP*,YCP*,TRADE,VALUE (mn),VOLUME
APEXFOODS,210.1,210.9,208.6,210.1,208.9,164,2.753,13110
APEXFOOT,203.9,204,201.1,203.2,202.1,204,4.43,21824
APEXSPINN,97.2,97.4,96,97.2,96,183,1.623,16785
APEXTANRY,68.4,68.5,68.1,68.3,68.2,82,1.08,15800
APOLOISPAT,4.2,4.5,4.1,4.2,4.2,121,1.87,445768
ARAMIT,167.3,167.3,163.3,166,163,12,0.042,255
ARAMITCEM,16.5,16.5,16.5,16.5,15,86,1.831,110992
ARGONDENIM,17.6,17.8,17.5,17.6,17.5,155,5.187,294622
ASIAINS,27.7,27.9,27,27.4,27.5,50,0.629,23011
ASIAPACINS,30.7,31.1,30.7,30.7,30.7,43,0.68,22109
ASIATICLAB,37.8,38.5,37.6,37.8,37.9,743,25.106,661930
ATCSLGF,6.5,6.6,6.4,6.5,6.5,37,0.982,151392
ATLASBANG,50.6,50.7,50.3,50.6,50.8,43,0.391,7732
AZIZPIPES,54.6,56,51.1,54.6,51.2,432,3.513,66314
BANGAS,99.4,102.8,97.6,99.4,96.9,869,15.324,152645
BANKASIA,17.3,17.3,17,17.2,17.2,11,0.088,5088
BARKAPOWER,10.6,10.9,10.4,10.6,10.7,379,5.613,526703
BATASHOE,847.7,849,847,847.7,848.5,33,0.257,303
BATBC,334,340,330.2,334,346.7,2835,75.723,226578
BAYLEASING,6.2,6.3,6.2,6.2,6.3,127,0.976,156262
BBS,12.2,12.5,12.2,12.2,12.3,513,11.792,957841
BBSCABLES,18.5,19,18.4,18.5,18.6,360,7.112,383016
BDAUTOCA,94.9,96,92,94.9,92.2,352,4.428,46758
BDCOM,25.8,26.2,25.6,25.8,25.9,556,20.95,810517
BDFINANCE,13.1,13.2,12.5,13.1,12.6,337,7.047,545821
BDLAMPS,120,120,109.1,120,109.1,631,10.909,93200
BDSERVICE,0,0,0,5.2,5.2,0,0,0
BDTHAI,15.7,16.2,15.6,15.7,15.5,1438,46.001,2891797
BDTHAIFOOD,16.3,17,16.2,16.3,16.7,789,19.347,1173984
BDWELDING,12.7,12.8,12.5,12.6,12.5,74,0.792,62799
BEACHHATCH,109.4,110.3,107.9,109.4,109.4,770,55.648,509838
BEACONPHAR,129,130.7,127.3,127.9,130.7,1036,50.807,393204
BENGALWTL,18.7,19.2,18.4,18.5,18.9,311,5.669,303784
BERGERPBL,1797.1,1822,1780,1797.1,1795.2,43,1.71,952
BESTHLDNG,18.5,18.8,18.4,18.5,18.6,1030,32.933,1771430
BEXIMCO,110.1,110.1,110.1,110.1,110.1,4,0.05,458
BGIC,32.9,33.3,32.9,33,33.2,31,0.456,13795
BIFC,7.8,7.9,7.7,7.8,7.7,23,0.196,25329
BNICL,39.9,40.5,39.6,39.9,39.9,117,1.193,29885
BPML,41.5,41.5,38.9,41.5,37.8,3208,119.034,2898023
BPPL,11.2,11.6,11.1,11.2,11.5,592,8.918,787599
BRACBANK,52.3,52.7,52.2,52.3,52.4,427,40.988,782786
BSC,86.6,87.3,86.4,86.6,86.6,928,25.277,291307
BSCPLC,129.3,130.5,128.4,129.3,128.6,212,11.913,91864
BSRMLTD,78.2,78.9,77.6,78,77.7,43,0.575,7366
BSRMSTEEL,51.8,52.1,51.6,51.8,51.8,63,0.745,14402
BXPHARMA,78.6,80.8,78.3,78.6,80.3,730,27.778,352026
CAPITECGBF,7.6,7.8,7.5,7.6,7.8,299,7.199,942058
CAPMBDBLMF,8.1,8.1,7.9,8.1,8,174,3.679,456730
CAPMIBBLMF,9,9.1,8.9,9,8.9,73,1.775,197529
CENTRALINS,36.6,37.7,36.5,36.6,36.9,204,6.403,173243
CENTRALPHL,13,13.4,12.8,13,13.3,853,16.313,1252926
CITYBANK,22.9,23.1,22.9,22.9,23,376,29.248,1272653
CITYGENINS,0,0,0,37.4,37.4,0,0,0
CLICL,42,42.8,41.8,42,41.7,216,4.707,111702
CNATEX,4.5,4.6,4.4,4.4,4.5,135,1.501,335498
CONFIDCEM,53.3,54,53.1,53.3,53.5,374,8.177,153024
CONTININS,24.3,24.7,24.3,24.3,24.6,67,0.881,36126
COPPERTECH,21.7,22.2,21.4,21.7,21.5,416,10.389,475641
CROWNCEMNT,45.8,46.4,45.5,45.8,45.5,48,0.588,12812
CRYSTALINS,48.6,50.1,48.2,48.6,49.6,804,16.629,339855
CVOPRL,133.9,136.7,133.6,133.9,135.3,401,16.035,118331
DACCADYE,18.3,18.5,18.1,18.3,18.4,221,5.197,283965
DAFODILCOM,66.6,69,66.1,68.1,66.7,76,7.265,106026
DBH,37.1,37.6,36.6,37.1,36.7,274,5.039,136097
DBH1STMF,4,4.1,3.9,4,3.9,52,0.348,87548
DELTALIFE,77.6,78.9,77.3,77.6,77.7,506,11.416,146792
DELTASPINN,6.9,7.1,6.8,6.9,7,206,2.533,366863
DESCO,22.7,22.7,22.5,22.6,22.5,32,0.224,9890
DESHBANDHU,21.7,23.8,21.3,21.7,22.9,1553,38.575,1726222
DGIC,21.4,21.9,21.3,21.4,21.6,128,1.241,57823
DHAKABANK,11.1,11.5,11,11.1,11.2,143,8.334,746671
DHAKAINS,37,38,37,37.1,37.1,60,0.889,23625
DOMINAGE,12.3,12.7,12.2,12.3,12.3,660,23.446,1888471
DOREENPWR,23.6,23.8,23.3,23.6,23.2,179,3.623,153961
DSHGARME,77.4,80.7,74,77.4,73.4,640,7.803,98776
DSSL,12,12.3,11.5,12,11.9,1246,40.38,3340429
DULAMIACOT,79,81.9,74.5,80.4,75.5,8,0.042,520
DUTCHBANGL,51.9,52.1,51.7,51.9,52,54,2.989,57587
